Domain,MBFC,MBFC factual,BF,FC,PF,WI,Site Rank,Yr online,Name,Media Bias/Fact Check page,Wikipedia article,HTTP,URL,lang,hflag,iffy,Lists
100percentfedup.com,FN,L,,,,,101963,,100 Percent Fed Up,https://mediabiasfactcheck.com/100-percent-fed-up/,,200,https://100percentfedup.com/,en,,1,2
10news.one,FN,L,,,,,2688331,,10News.one,https://mediabiasfactcheck.com/10news-one/,,200,https://www.10news.one/,en,,1,1
12minutos.com,FN,L,1,,,,330294,,12minutos.com,https://mediabiasfactcheck.com/12minutos-com/,,200,http://www.12minutos.com/,es,1,1,2
21stcenturywire.com,CP,M,,,,,131699,,21st Century Wire,https://mediabiasfactcheck.com/21st-century-wire/,,200,https://21stcenturywire.com/,en,,,1
24aktuelles.com,,,1,,,,1138388,2014,Erfinde deine eigenen Witz,,,200,http://www.24aktuelles.com/,de,1,,1
369news.net,CP,M,,,,,1810968,2015,369 News,https://mediabiasfactcheck.com/369news/,,200,https://369news.net/,en,,,1
79days.news,CP,VL,,,,,75838,2020,Banned.Video,https://mediabiasfactcheck.com/79days-news/,,200,https://79days.news/,en,1,1,1
911truth.org,CP,L,,,,,900437,2003,911Truth.org,https://mediabiasfactcheck.com/911truth-org/,,200,https://911truth.org/,en,,1,1
a-news24.com,,,,,fake-news,,7351803,2015,A news24,,,200,https://a-news24.com/,sq,,,1
aapsonline.org,FN,L,,,,,266505,1998,Association of American Physicians and Surgeons,https://mediabiasfactcheck.com/association-of-american-physicians-and-surgeons-aaps/,https://en.wikipedia.org/wiki/Association_of_American_Physicians_and_Surgeons,200,https://aapsonline.org/,en,,1,1
abcbusinessnews.com,FN,M,,,,,20000000,,Experience Awareness (AbcBusinessNews.com),https://mediabiasfactcheck.com/experience-awareness-abcbusinessnews-com/,,200,http://www.abcbusinessnews.com/,en,,,1
abovetopsecret.com,CP,L,,,,,25965,1997,Above Top Secret,https://mediabiasfactcheck.com/above-top-secret/,,200,http://www.abovetopsecret.com/,en,1,1,1
acpeds.org,FN,M,,,,,397145,2002,American College of Pediatricians,https://mediabiasfactcheck.com/american-college-of-pediatricians/,https://en.wikipedia.org/wiki/American_College_of_Pediatricians,200,https://acpeds.org/,en,,,1
activistpost.com,CP,L,,,,,65871,,Activist Post,https://mediabiasfactcheck.com/activist-post/,,200,https://www.activistpost.com/,en,,1,1
actualite.co,,,1,,,,456065,2010,Fais une blague et piège tes amis!,,,200,https://actualite.co/,fr,1,,1
adflegal.org,FN,L,,,,,235690,,Alliance Defending Freedom,https://mediabiasfactcheck.com/alliance-defending-freedom/,https://en.wikipedia.org/wiki/Alliance_Defending_Freedom,200,https://adflegal.org/,en,,1,1
